bench,C2 nmethods,total_size,total_header_size,total_header_size %,total_consts_size,total_consts_size %,total_inst_size,total_inst_size %,total_stub_size,total_stub_size %,(total_inst_size+total_stub_size) %,total_oops_size,total_oops_size %,total_metadata_size,total_metadata_size %,total_scopes_data_size,total_scopes_data_size %,total_scopes_pcs_size,total_scopes_pcs_size %,total_deps_size,total_deps_size %,total_handler_table_size,total_handler_table_size %,total_nul_chk_table_size,total_nul_chk_table_size %
h2,1419,7407960,499488,6.7%,6016,0.1%,3944768,53.3%,104832,1.4%,54.7%,19312,0.3%,156896,2.1%,1448968,19.6%,679696,9.2%,39584,0.5%,189696,2.6%,95648,1.3%
kafka,1591,5998856,560032,9.3%,2112,0.0%,3171584,52.9%,75032,1.3%,54.1%,15736,0.3%,146096,2.4%,1162288,19.4%,482544,8.0%,30448,0.5%,120144,2.0%,60184,1.0%
eclipse,5135,35026312,1807520,5.2%,223648,0.6%,19897664,56.8%,533296,1.5%,58.3%,66384,0.2%,550720,1.6%,5894768,16.8%,3204928,9.2%,152856,0.4%,1218848,3.5%,372400,1.1%
tradesoap,3351,17067832,1179552,6.9%,8256,0.0%,9445120,55.3%,216128,1.3%,56.6%,56608,0.3%,416984,2.4%,3068816,18.0%,1479440,8.7%,93896,0.6%,392968,2.3%,211648,1.2%
tradebeans,2327,10826504,819104,7.6%,5920,0.1%,6012000,55.5%,143904,1.3%,56.9%,26816,0.2%,215736,2.0%,1956104,18.1%,920704,8.5%,50608,0.5%,247680,2.3%,118856,1.1%
xalan,856,3985744,301312,7.6%,768,0.0%,2301088,57.7%,46888,1.2%,58.9%,8176,0.2%,78640,2.0%,643592,16.1%,347536,8.7%,19840,0.5%,80304,2.0%,50240,1.3%
jme,379,1097184,133408,12.2%,800,0.1%,582240,53.1%,16200,1.5%,54.5%,1872,0.2%,19296,1.8%,186536,17.0%,88960,8.1%,5208,0.5%,19528,1.8%,11056,1.0%
biojava,415,1405784,146080,10.4%,1568,0.1%,777824,55.3%,19072,1.4%,56.7%,2592,0.2%,28320,2.0%,231168,16.4%,111936,8.0%,6016,0.4%,27264,1.9%,13768,1.0%
avrora,452,1179680,159104,13.5%,1152,0.1%,586624,49.7%,17624,1.5%,51.2%,3328,0.3%,33664,2.9%,185848,15.8%,108624,9.2%,9560,0.8%,19008,1.6%,18792,1.6%
fop,1278,5439136,449856,8.3%,5184,0.1%,3033056,55.8%,76520,1.4%,57.2%,11840,0.2%,112376,2.1%,885000,16.3%,461632,8.5%,30712,0.6%,147752,2.7%,60600,1.1%
batik,889,3481576,312928,9.0%,4064,0.1%,1920448,55.2%,45664,1.3%,56.5%,6704,0.2%,67232,1.9%,589488,16.9%,297184,8.5%,18328,0.5%,76192,2.2%,38528,1.1%
pmd,2200,11738824,774400,6.6%,22752,0.2%,7119872,60.7%,175456,1.5%,62.1%,24304,0.2%,204056,1.7%,1614440,13.8%,933232,7.9%,47928,0.4%,366336,3.1%,109936,0.9%
luindex,757,3452712,266464,7.7%,992,0.0%,1988544,57.6%,39368,1.1%,58.7%,6416,0.2%,55376,1.6%,570880,16.5%,306208,8.9%,11768,0.3%,68352,2.0%,47992,1.4%
cassandra,155,264800,54560,20.6%,0,0.0%,130304,49.2%,5008,1.9%,51.1%,320,0.1%,4600,1.7%,32264,12.2%,20864,7.9%,1416,0.5%,4008,1.5%,2480,0.9%
graphchi,251,755800,88352,11.7%,576,0.1%,403520,53.4%,10784,1.4%,54.8%,1296,0.2%,12168,1.6%,134296,17.8%,58768,7.8%,3640,0.5%,13104,1.7%,8384,1.1%
