bench,C2 nmethods,total_size,total_header_size,total_header_size %,total_consts_size,total_consts_size %,total_inst_size,total_inst_size %,total_stub_size,total_stub_size %,(total_inst_size+total_stub_size) %,total_oops_size,total_oops_size %,total_metadata_size,total_metadata_size %,total_scopes_data_size,total_scopes_data_size %,total_scopes_pcs_size,total_scopes_pcs_size %,total_deps_size,total_deps_size %,total_handler_table_size,total_handler_table_size %,total_nul_chk_table_size,total_nul_chk_table_size %
scala-doku,579,1779944,199176,11.2%,0,0.0%,728640,40.9%,162704,9.1%,50.1%,10384,0.6%,54000,3.0%,288072,16.2%,144304,8.1%,10384,0.6%,45984,2.6%,17888,1.0%
chi-square,1573,6352792,541112,8.5%,1216,0.0%,2738112,43.1%,647712,10.2%,53.3%,22464,0.4%,169520,2.7%,1044984,16.4%,539952,8.5%,32480,0.5%,141304,2.2%,63768,1.0%
akka-uct,1198,4989392,412112,8.3%,960,0.0%,2146176,43.0%,524304,10.5%,53.5%,19000,0.4%,153792,3.1%,753176,15.1%,418512,8.4%,25464,0.5%,148304,3.0%,47544,1.0%
fj-kmeans,250,693816,86000,12.4%,1024,0.1%,286464,41.3%,65328,9.4%,50.7%,2016,0.3%,18224,2.6%,106232,15.3%,59296,8.5%,2960,0.4%,12960,1.9%,7504,1.1%
als,4541,19667368,1562104,7.9%,1216,0.0%,8261696,42.0%,2002224,10.2%,52.2%,92024,0.5%,642000,3.3%,3330240,16.9%,1651856,8.4%,118368,0.6%,508024,2.6%,194648,1.0%
mnemonics,253,669968,87032,13.0%,128,0.0%,293632,43.8%,60080,9.0%,52.8%,1928,0.3%,18448,2.8%,84880,12.7%,54608,8.2%,2928,0.4%,14136,2.1%,7696,1.1%
naive-bayes,4355,19077896,1498120,7.9%,1088,0.0%,8162304,42.8%,1955888,10.3%,53.0%,90016,0.5%,599488,3.1%,3109768,16.3%,1598720,8.4%,102968,0.5%,504344,2.6%,188240,1.0%
philosophers,597,2603528,205368,7.9%,640,0.0%,1043712,40.1%,277728,10.7%,50.8%,12248,0.5%,83424,3.2%,465528,17.9%,231824,8.9%,16288,0.6%,53592,2.1%,34688,1.3%
rx-scrabble,583,2321240,200552,8.6%,64,0.0%,1050624,45.3%,234192,10.1%,55.4%,6240,0.3%,59680,2.6%,321496,13.9%,202320,8.7%,8176,0.4%,56376,2.4%,23464,1.0%
page-rank,2335,9598912,803240,8.4%,1152,0.0%,4183488,43.6%,976880,10.2%,53.8%,32848,0.3%,251352,2.6%,1549888,16.1%,823536,8.6%,48504,0.5%,202384,2.1%,104480,1.1%
gauss-mix,2234,8788608,768496,8.7%,1472,0.0%,3764992,42.8%,860976,9.8%,52.6%,35496,0.4%,246696,2.8%,1505464,17.1%,717472,8.2%,47688,0.5%,199712,2.3%,83424,0.9%
dec-tree,4153,16549504,1428632,8.6%,896,0.0%,7060416,42.7%,1669360,10.1%,52.7%,75672,0.5%,503376,3.0%,2649104,16.0%,1392016,8.4%,90256,0.5%,412184,2.5%,169392,1.0%
movie-lens,4712,23428120,1620928,6.9%,2240,0.0%,10023872,42.8%,2365568,10.1%,52.9%,108888,0.5%,760656,3.2%,4090136,17.5%,1943136,8.3%,142648,0.6%,605736,2.6%,233432,1.0%
reactors,665,2967216,228760,7.7%,576,0.0%,1292864,43.6%,310880,10.5%,54.0%,14064,0.5%,105656,3.6%,430400,14.5%,261840,8.8%,23576,0.8%,64712,2.2%,33288,1.1%
finagle-chirper,4167,18558736,1433448,7.7%,704,0.0%,8031488,43.3%,1899184,10.2%,53.5%,93552,0.5%,632656,3.4%,2830360,15.3%,1566624,8.4%,102936,0.6%,513232,2.8%,191024,1.0%
scala-stm-bench7,781,3823664,268664,7.0%,320,0.0%,1487680,38.9%,418704,11.0%,49.9%,16560,0.4%,138688,3.6%,723760,18.9%,341808,8.9%,27680,0.7%,92576,2.4%,45728,1.2%
par-mnemonics,284,905144,97696,10.8%,128,0.0%,408320,45.1%,84000,9.3%,54.4%,3352,0.4%,25280,2.8%,114568,12.7%,73728,8.1%,3680,0.4%,23688,2.6%,10000,1.1%
future-genetic,435,1687824,149640,8.9%,1536,0.1%,711488,42.2%,148272,8.8%,50.9%,5696,0.3%,45840,2.7%,322928,19.1%,137456,8.1%,6344,0.4%,35616,2.1%,19512,1.2%
finagle-http,2671,10899088,918824,8.4%,128,0.0%,4554880,41.8%,1154320,10.6%,52.4%,52880,0.5%,371336,3.4%,1684688,15.5%,953776,8.8%,63424,0.6%,273680,2.5%,125896,1.2%
scrabble,403,989040,138632,14.0%,64,0.0%,435712,44.1%,84704,8.6%,52.6%,2768,0.3%,26632,2.7%,124280,12.6%,78720,8.0%,4416,0.4%,18120,1.8%,11176,1.1%
dotty,7447,52840528,2561768,4.8%,1664,0.0%,18879552,35.7%,6317776,12.0%,47.7%,251800,0.5%,2176896,4.1%,11017016,20.8%,4694528,8.9%,534800,1.0%,2049216,3.9%,654736,1.2%
scala-kmeans,155,366248,53320,14.6%,320,0.1%,167168,45.6%,30416,8.3%,53.9%,824,0.2%,7496,2.0%,45240,12.4%,28560,7.8%,1816,0.5%,4488,1.2%,4320,1.2%
log-regression,3689,14749320,1269016,8.6%,384,0.0%,6352704,43.1%,1469536,10.0%,53.0%,64672,0.4%,442376,3.0%,2373032,16.1%,1221184,8.3%,75728,0.5%,368904,2.5%,144464,1.0%
