bench,C2 nmethods,total_size,total_header_size,total_header_size %,total_consts_size,total_consts_size %,total_inst_size,total_inst_size %,total_stub_size,total_stub_size %,(total_inst_size+total_stub_size) %,total_oops_size,total_oops_size %,total_metadata_size,total_metadata_size %,total_scopes_data_size,total_scopes_data_size %,total_scopes_pcs_size,total_scopes_pcs_size %,total_deps_size,total_deps_size %,total_handler_table_size,total_handler_table_size %,total_nul_chk_table_size,total_nul_chk_table_size %
scala-doku,563,1647120,198176,12.0%,96,0.0%,820096,49.8%,23136,1.4%,51.2%,8408,0.5%,46088,2.8%,284528,17.3%,140192,8.5%,9880,0.6%,44184,2.7%,17248,1.0%
chi-square,1573,5594880,553696,9.9%,4640,0.1%,2956896,52.9%,83824,1.5%,54.3%,13416,0.2%,125064,2.2%,985592,17.6%,481152,8.6%,29784,0.5%,131776,2.4%,57632,1.0%
akka-uct,1178,4818528,414656,8.6%,1504,0.0%,2498144,51.8%,85752,1.8%,53.6%,13336,0.3%,118624,2.5%,862824,17.9%,420752,8.7%,25352,0.5%,162680,3.4%,47960,1.0%
fj-kmeans,250,654096,88000,13.5%,512,0.1%,332992,50.9%,9264,1.4%,52.3%,1600,0.2%,15704,2.4%,105448,16.1%,56848,8.7%,2896,0.4%,12624,1.9%,7600,1.2%
als,4399,16988080,1548448,9.1%,5824,0.0%,8874464,52.2%,250160,1.5%,53.7%,52632,0.3%,487704,2.9%,3028216,17.8%,1464624,8.6%,104664,0.6%,457528,2.7%,175080,1.0%
mnemonics,248,622016,87296,14.0%,96,0.0%,327776,52.7%,8216,1.3%,54.0%,1536,0.2%,15512,2.5%,84712,13.6%,53328,8.6%,2848,0.5%,13152,2.1%,7480,1.2%
naive-bayes,3515,13612472,1237280,9.1%,5088,0.0%,7239392,53.2%,193256,1.4%,54.6%,38000,0.3%,351208,2.6%,2391312,17.6%,1165728,8.6%,71336,0.5%,359216,2.6%,140032,1.0%
philosophers,530,1943152,186560,9.6%,672,0.0%,973280,50.1%,28328,1.5%,51.5%,5712,0.3%,58240,3.0%,375040,19.3%,174016,9.0%,13296,0.7%,41496,2.1%,25744,1.3%
rx-scrabble,592,2137768,208384,9.7%,32,0.0%,1161984,54.4%,28656,1.3%,55.7%,4984,0.2%,48840,2.3%,331936,15.5%,193008,9.0%,8192,0.4%,55968,2.6%,28104,1.3%
gauss-mix,2238,8293616,787776,9.5%,5952,0.1%,4397184,53.0%,117512,1.4%,54.4%,20528,0.2%,195856,2.4%,1520912,18.3%,685472,8.3%,44608,0.5%,189376,2.3%,80888,1.0%
dec-tree,4096,15623064,1441792,9.2%,5792,0.0%,8266080,52.9%,221960,1.4%,54.3%,45720,0.3%,409152,2.6%,2744880,17.6%,1341184,8.6%,86512,0.6%,406928,2.6%,161288,1.0%
movie-lens,4636,21199736,1631872,7.7%,6304,0.0%,11228288,53.0%,289296,1.4%,54.3%,64232,0.3%,612584,2.9%,4011808,18.9%,1794400,8.5%,131792,0.6%,568208,2.7%,216504,1.0%
reactors,674,2765000,237248,8.6%,512,0.0%,1482720,53.6%,39272,1.4%,55.0%,6672,0.2%,87016,3.1%,453296,16.4%,253760,9.2%,21264,0.8%,62416,2.3%,34744,1.3%
finagle-chirper,3821,13564024,1344992,9.9%,672,0.0%,7004608,51.6%,200024,1.5%,53.1%,47504,0.4%,448760,3.3%,2205936,16.3%,1224688,9.0%,87328,0.6%,382832,2.8%,164184,1.2%
scala-stm-bench7,698,2582736,245696,9.5%,96,0.0%,1240832,48.0%,41944,1.6%,49.7%,6160,0.2%,83568,3.2%,520592,20.2%,241888,9.4%,19016,0.7%,63376,2.5%,33776,1.3%
par-mnemonics,286,791648,100672,12.7%,96,0.0%,421792,53.3%,10376,1.3%,54.6%,2176,0.3%,19944,2.5%,112528,14.2%,66432,8.4%,3424,0.4%,19416,2.5%,9160,1.2%
future-genetic,416,1126240,146432,13.0%,736,0.1%,554848,49.3%,15512,1.4%,50.6%,3608,0.3%,31008,2.8%,189952,16.9%,103024,9.1%,5192,0.5%,23448,2.1%,15680,1.4%
finagle-http,1995,6318192,702240,11.1%,1952,0.0%,3160128,50.0%,99808,1.6%,51.6%,20952,0.3%,197768,3.1%,1045408,16.5%,595088,9.4%,39736,0.6%,158056,2.5%,82448,1.3%
scrabble,376,884480,132352,15.0%,32,0.0%,471808,53.3%,11120,1.3%,54.6%,2224,0.3%,22136,2.5%,113928,12.9%,72848,8.2%,3920,0.4%,16440,1.9%,10408,1.2%
dotty,7242,47019560,2549184,5.4%,16128,0.0%,21663424,46.1%,887072,1.9%,48.0%,172720,0.4%,1617656,3.4%,11090984,23.6%,4392672,9.3%,477552,1.0%,1900248,4.0%,618064,1.3%
scala-kmeans,158,354952,55616,15.7%,160,0.0%,192224,54.2%,4992,1.4%,55.6%,728,0.2%,6608,1.9%,45168,12.7%,28272,8.0%,1824,0.5%,4512,1.3%,4320,1.2%
log-regression,3631,13213680,1278112,9.7%,5824,0.0%,6954880,52.6%,191288,1.4%,54.1%,38048,0.3%,348536,2.6%,2309336,17.5%,1126336,8.5%,71376,0.5%,340216,2.6%,136208,1.0%
